CityId	CityName	ParentId
2922	丽江	29
2923	红河	29
2925	德宏	29
2927	怒江	29
2928	迪庆	29
2929	普洱	29
3001	杭州	30
3002	宁波	30
3003	温州	30
3005	嘉兴	30
3006	金华	30
3009	丽水	30
3011	湖州	30
3012	衢州	30
3015	台州	30
3016	绍兴	30
3020	舟山	30
3101	重庆	31
422800	恩施	12
469021	定安	8
469022	屯昌	8
469023	澄迈	8
469024	临高	8
469025	白沙	8
469026	昌江	8
469027	乐东	8
469028	陵水	8
469029	保亭	8
469030	琼中	8
532300	楚雄	29
532900	大理	29
622900	临夏	4
652300	昌吉	28
820002	北屯	28
820003	铁门关	28
820004	双河	28
820005	可克达拉	28
820006	昆玉	28
